settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
AMZ-DEMO-2026-08-001	2026-08-01	2026-08-14	2026-08-16	3134.90	INR																		
AMZ-DEMO-2026-08-001					INR	Order	111-1111111-1111111	#MRC-24001		SHIP-24001	Amazon.in	ItemPrice	Principal	1299.00	AFN	2026-08-02	2026-08-02T10:20:00+05:30	OI-24001			SKU-CANDLE-01	1	
AMZ-DEMO-2026-08-001					INR	Order	111-1111111-1111111	#MRC-24001		SHIP-24001	Amazon.in	ItemFees	Commission	-129.90	AFN	2026-08-02	2026-08-02T10:20:00+05:30	OI-24001			SKU-CANDLE-01	1	
AMZ-DEMO-2026-08-001					INR	Order	111-1111111-1111111	#MRC-24001		SHIP-24001	Amazon.in	ItemFees	FBAWeightBasedFee	-90.00	AFN	2026-08-02	2026-08-02T10:20:00+05:30	OI-24001			SKU-CANDLE-01	1	
AMZ-DEMO-2026-08-001					INR	Order	111-1111111-1111111	#MRC-24001		SHIP-24001	Amazon.in	ItemFees	ItemTCS	-12.00	AFN	2026-08-02	2026-08-02T10:20:00+05:30	OI-24001			SKU-CANDLE-01	1	
AMZ-DEMO-2026-08-001					INR	Order	111-1111111-1111111	#MRC-24001		SHIP-24001	Amazon.in	ItemFees	ItemTDS	-1.30	AFN	2026-08-02	2026-08-02T10:20:00+05:30	OI-24001			SKU-CANDLE-01	1	
AMZ-DEMO-2026-08-001					INR	Order	222-2222222-2222222	#MRC-24002		SHIP-24002	Amazon.in	ItemPrice	Principal	2499.00	AFN	2026-08-03	2026-08-03T11:20:00+05:30	OI-24002			SKU-LAMP-02	1	
AMZ-DEMO-2026-08-001					INR	Order	222-2222222-2222222	#MRC-24002		SHIP-24002	Amazon.in	ItemFees	Commission	-249.90	AFN	2026-08-03	2026-08-03T11:20:00+05:30	OI-24002			SKU-LAMP-02	1	
AMZ-DEMO-2026-08-001					INR	Order	222-2222222-2222222	#MRC-24002		SHIP-24002	Amazon.in	ItemFees	VariableClosingFee	-25.00	AFN	2026-08-03	2026-08-03T11:20:00+05:30	OI-24002			SKU-LAMP-02	1	
AMZ-DEMO-2026-08-001					INR	Order	222-2222222-2222222	#MRC-24002		SHIP-24002	Amazon.in	ItemFees	NewMarketplaceCode	-75.00	AFN	2026-08-03	2026-08-03T11:20:00+05:30	OI-24002			SKU-LAMP-02	1	
AMZ-DEMO-2026-08-001					INR	Order	333-3333333-3333333	#MRC-24003		SHIP-24003	Amazon.in	ItemPrice	Principal	1799.00	AFN	2026-08-04	2026-08-04T09:20:00+05:30	OI-24003			SKU-BAG-03	1	
AMZ-DEMO-2026-08-001					INR	Refund	333-3333333-3333333	#MRC-24003		SHIP-24003	Amazon.in	ItemPrice	Principal	-1799.00	AFN	2026-10-01	2026-10-01T09:20:00+05:30	OI-24003			SKU-BAG-03	1	
AMZ-DEMO-2026-08-001					INR	Refund	333-3333333-3333333	#MRC-24003		SHIP-24003	Amazon.in	ItemFees	ReturnShipping	-80.00	AFN	2026-10-01	2026-10-01T09:20:00+05:30	OI-24003			SKU-BAG-03	1	
