"transaction_date","value_date","description","reference_no","debit_inr","credit_inr","balance_inr"
"2026-08-04","2026-08-04","NEFT RAZORPAY SETTLEMENT setl_mrc_001","UTR-RZP-001","","1268.34","501268.34"
"2026-08-04","2026-08-04","NEFT RAZORPAY SETTLEMENT setl_mrc_002","UTR-RZP-002","","2440.02","503708.36"
"2026-08-05","2026-08-05","NEFT RAZORPAY SETTLEMENT setl_mrc_003","UTR-RZP-003","","1756.54","505464.90"
"2026-08-06","2026-08-06","IMPS SUPPLIER PAYMENT - PACKAGING","DBT-MRC-001","18500.00","","486964.90"
"2026-08-06","2026-08-06","NEFT RAZORPAY SETTLEMENT setl_mrc_004","UTR-RZP-004","","3221.14","490186.04"
"2026-08-06","2026-08-06","NEFT RAZORPAY SETTLEMENT setl_mrc_006","UTR-RZP-006","","1463.62","491649.66"
"2026-08-07","2026-08-07","NEFT RAZORPAY SETTLEMENT setl_mrc_007","UTR-RZP-007","","2732.94","494382.60"
"2026-08-08","2026-08-08","NEFT RAZORPAY SETTLEMENT setl_mrc_008","UTR-RZP-008","","3806.98","498189.58"
"2026-08-08","2026-08-08","NEFT RAZORPAY SETTLEMENT setl_mrc_010","UTR-RZP-010","","4490.46","502680.04"
"2026-08-09","2026-08-09","NEFT RAZORPAY SETTLEMENT setl_mrc_011","UTR-RZP-011","","1854.18","504534.22"
"2026-08-10","2026-08-10","NEFT RAZORPAY SETTLEMENT setl_mrc_012","UTR-RZP-012","","2635.30","507169.52"
"2026-08-10","2026-08-10","NEFT RAZORPAY SETTLEMENT setl_mrc_014","UTR-RZP-014","","4881.02","512050.54"
"2026-08-11","2026-08-11","NEFT RAZORPAY SETTLEMENT setl_mrc_015","UTR-RZP-015","","2234.74","514285.28"
"2026-08-12","2026-08-12","NEFT RAZORPAY SETTLEMENT setl_mrc_016","UTR-RZP-016","","1170.70","515455.98"
"2026-08-13","2026-08-13","NEFT RAZORPAY SETTLEMENT setl_mrc_005","UTR-RZP-005","","2147.10","517603.08"
"2026-08-16","2026-08-16","NEFT AMAZON MARKETPLACE SETTLEMENT AMZ-DEMO-2026-08-001","UTR-AMZ-DEMO-001","","3134.90","520737.98"
"2026-08-18","2026-08-18","UPI OFFICE EXPENSE","DBT-MRC-002","4200.00","","516537.98"
"2026-08-24","2026-08-24","NEFT SHIPMOZO COD REMITTANCE COD-BATCH-MRC-0823","UTR-COD-MRC-0823","","20692.00","537229.98"
"2026-12-01","2026-12-01","UPI CUSTOMER REFUND REVERSAL - NON-SETTLEMENT CREDIT","UTR-UNRELATED-01","","750.00","537979.98"
