"payment_id","order_ref","payment_date","gross_amount","fee_amount","tax_on_fee","net_amount","settlement_id","settlement_date","status"
"pay_mrc_001","#MRC-24001","2026-08-01","1299.00","25.98","4.68","1268.34","setl_mrc_001","2026-08-03","captured"
"pay_mrc_002","#MRC-24002","2026-08-01","2499.00","49.98","9.00","2440.02","setl_mrc_002","2026-08-03","captured"
"pay_mrc_003","#MRC-24003","2026-08-02","1799.00","35.98","6.48","1756.54","setl_mrc_003","2026-08-04","captured"
"pay_mrc_004","#MRC-24004","2026-08-03","3299.00","65.98","11.88","3221.14","setl_mrc_004","2026-08-05","captured"
"pay_mrc_005","#MRC-24005","2026-08-03","2199.00","43.98","7.92","2147.10","setl_mrc_005","2026-08-05","captured"
"pay_mrc_006","#MRC-24006","2026-08-03","1499.00","29.98","5.40","1463.62","setl_mrc_006","2026-08-05","captured"
"pay_mrc_007","#MRC-24007","2026-08-04","2799.00","55.98","10.08","2732.94","setl_mrc_007","2026-08-06","captured"
"pay_mrc_007","#MRC-24007","2026-08-04","2799.00","55.98","10.08","","","","captured"
"pay_mrc_008","#MRC-24008","2026-08-05","3899.00","77.98","14.04","3806.98","setl_mrc_008","2026-08-07","captured"
"pay_mrc_009","#MRC-24009","2026-08-05","999.00","19.98","3.60","","","","captured"
"pay_mrc_010","#MRC-24010","2026-08-05","4599.00","91.98","16.56","4490.46","setl_mrc_010","2026-08-07","captured"
"pay_mrc_011","#MRC-24011","2026-08-06","1899.00","37.98","6.84","1854.18","setl_mrc_011","2026-08-08","captured"
"pay_mrc_012","#MRC-24012","2026-08-07","2699.00","53.98","9.72","2635.30","setl_mrc_012","2026-08-09","captured"
"pay_mrc_013","#MRC-24013","2026-08-07","1599.00","31.98","5.76","1561.26","setl_mrc_013","2026-08-09","captured"
"pay_mrc_014","#MRC-24014","2026-08-07","4999.00","99.98","18.00","4881.02","setl_mrc_014","2026-08-09","captured"
"pay_mrc_015","#MRC-24015","2026-08-08","2299.00","45.98","8.28","2244.74","setl_mrc_015","2026-08-10","captured"
"pay_mrc_016","#MRC-24016","2026-08-09","1199.00","23.98","4.32","1170.70","setl_mrc_016","2026-08-11","captured"
