"payment_id","order_ref","payment_date","gross_amount","fee_amount","tax_on_fee","net_amount","settlement_id","settlement_date","status"
"pay_790FBElsH4XEaf","1001","2026-08-01","3096.52","61.93","11.15","3023.44","setl_zXM8BG4css5O18","2026-08-03","captured"
"pay_QOGsF6dx5sCJz6","#SHF-1002","2026-08-01","5399.52","107.99","19.44","5272.09","setl_yMS7cpll8uz6Yz","2026-08-02","captured"
"pay_e5HSKpJmazEXkj","1003","2026-08-01","11493.28","229.87","41.38","11222.03","setl_rmDF3CxHChlJhJ","2026-08-03","captured"
"pay_8dTXoWFJpZ78i9","#SHF-1004","2026-08-02","12964.72","259.29","46.67","12658.76","setl_kGYFQmDDSenf2h","2026-08-05","captured"
"pay_S724xEDrEHxIUo","1005","2026-08-02","8295.02","165.90","29.86","8099.26","setl_zqRMDS6AqFvuL0","2026-08-03","captured"
"pay_v0wi83yDBuzLmf","#SHF-1006","2026-08-03","12484.02","249.68","44.94","12189.40","setl_LAIjXrRWHC0Ep2","2026-08-05","captured"
"pay_Al7Jy84BiiQq15","1007","2026-08-04","10224.79","204.50","36.81","9983.48","setl_S7UtZXnuia6rt6","2026-08-05","captured"
"pay_nrwJB5Ip2GThgS","#SHF-1008","2026-08-04","6001.44","120.03","21.61","5859.80","setl_dGkAQlw6eSz8Bg","2026-08-05","captured"
"pay_60GKq39823PMOa","1009","2026-08-04","11149.59","222.99","40.14","10886.46","setl_JHo1SmpW9LluMx","2026-08-05","captured"
"pay_iODtvQiegW8OZU","#SHF-1010","2026-08-05","9593.20","191.86","34.53","9366.81","setl_66WLOv9zakM1iK","2026-08-08","captured"
"pay_my3OJdYxtRyolr","1011","2026-08-05","6690.72","133.81","24.09","6532.82","setl_9mmyUEzzZUZmfc","2026-08-08","captured"
"pay_KgalZ9LwDnkEed","#SHF-1012","2026-08-05","10713.50","214.27","38.57","10460.66","setl_jQpFRW3rcVcUuH","2026-08-06","captured"
"pay_qL6QMD3rD3W1RO","1013","2026-08-06","8087.67","161.75","29.12","7896.80","setl_lgPI4VqPb66r3J","2026-08-07","captured"
"pay_roj5oQsIyUQgWn","#SHF-1014","2026-08-06","1429.21","28.58","5.14","","","","captured"
"pay_BuTJDtjKkowfC0","1015","2026-08-07","4954.36","99.09","17.84","4837.43","setl_Mpci3bLBrBabBO","2026-08-08","refunded"
"pay_Ac8IWQ0DQe1hyG","#SHF-1016","2026-08-07","7674.15","153.48","27.63","7493.04","setl_re09cgVN9EscpG","2026-08-08","captured"
"pay_5fb2aAH5tkI00i","1017","2026-08-08","2201.69","44.03","7.93","2149.73","setl_NGDiZsCANC4Hz1","2026-08-11","captured"
"pay_cZspY12C9iah8D","#SHF-1018","2026-08-08","11134.16","222.68","40.08","10871.40","setl_C6hFmPCyua9C0Q","2026-08-11","captured"
"pay_lhO83cOxK0ttVb","1019","2026-08-09","10196.65","203.93","36.71","9956.01","setl_KJjkuYGRlpD2Xl","2026-08-12","captured"
"pay_ZBNutHFZsUYnjF","#SHF-1020","2026-08-09","2850.44","57.01","10.26","2783.17","setl_kmmdYhAybQxkJi","2026-08-10","captured"
"pay_cCDBT4ETZwZDcO","1021","2026-08-10","2993.27","59.87","10.78","2922.62","setl_SCpJnVMiekuQEV","2026-08-13","captured"
"pay_frYruLbWCk6irp","#SHF-1022","2026-08-11","10782.98","215.66","38.82","10528.50","setl_b2DLi29Ko2yeUC","2026-08-14","captured"
"pay_veUE90XSAFNNMX","1023","2026-08-10","2477.57","49.55","8.92","2419.10","setl_NaSUa7EalRbDKO","2026-08-13","captured"
"pay_t7aphAlMND0QyT","#SHF-1024","2026-08-11","4664.15","93.28","16.79","4554.08","setl_p0Ou7E4zjPFXxw","2026-08-14","captured"
"pay_1BPc3z8wdPdo2I","1025","2026-08-11","829.57","16.59","2.99","809.99","setl_BdtkdSsZfL0i8T","2026-08-13","captured"
"pay_aYI1TybJ8mffi6","#SHF-1026","2026-08-12","10921.43","218.43","39.32","10663.68","setl_IAygxvI8CmFnuN","2026-08-14","captured"
"pay_Y7lBq4DEOUC20o","1027","2026-08-12","11653.42","233.07","41.95","11378.40","setl_pf13qNGNiAjDBv","2026-08-13","captured"
"pay_YFT5M9PddG9fM9","#SHF-1028","2026-08-13","3973.26","79.47","14.30","3879.49","setl_Mta7tgQPfBm4tb","2026-08-14","captured"
"pay_pwH0FQ0wKRBP33","1029","2026-08-14","3543.96","70.88","12.76","3460.32","setl_YcYYvIqHMRvoDS","2026-08-16","captured"
"pay_imx1N9jHtkzRFQ","#SHF-1030","2026-08-15","6904.37","138.09","24.86","6741.42","setl_pJTJAVCy9GK7vQ","2026-08-17","captured"
"pay_OtwcEFZFTVHkZC","1031","2026-08-15","6654.28","133.09","23.96","6497.23","setl_yZzx1nRu7vexRL","2026-08-17","captured"
"pay_K92Ra1ZTTvFYxo","#SHF-1032","2026-08-14","11217.78","224.36","40.38","10953.04","setl_oGp7g7mUVL3Nhs","2026-08-17","captured"
